Product Title,Product Price,Product Rating,Number of Reviews,Product Description,ASIN,Product Manufacturer
OIVO INDIA Stylish Nylon Grey Hard Carrying Storage Case for PS5 (Playstation 5 Bag) [Video Game],"2,599.",5.0 out of 5 stars,3 ratings,,"['B0C2Q8TRZN', 'B0C2Q8TRZN', 'B09F1WGGZD', 'B0C3QNBH26', 'B0C7W1R6ZH', 'B0B69SG993', 'B09B89GCWW', 'B09BB78NW5', 'B09B7TL9W7', 'B09JWTM62V', 'B0C2VWGMYC', 'B07NVM4M5S', 'B0C2Q8TRZN', 'B09L8C3GXK', 'B0C2J54NN3', 'B0C2J6DRXG', 'B082VX16VJ', 'B082PKX18C', 'B0C3QL325N', 'B0B69SG993', 'B07YQFJ2DR', 'B0C8DMKHBT', 'B09D8VYLY7', 'B0C2Q8TRZN']",Brand: OIVO INDIA
Sony PS5 PlayStation Console,"54,990.",4.5 out of 5 stars,969 ratings,The PS5™ console unleashes new gaming possibilities that you never anticipated.,"['B0BRCP72X8', 'B0BRCP72X8', 'B08R8PFVHD', 'B08R8RTZ1D', 'B089K72JNW', 'B0BRCP72X8', 'B089K72JNW', 'B08R8PFVHD', 'B08R8RTZ1D', 'B0BRCP72X8']",Visit the Sony Store
Sony PS5 PlayStation Console+God Of War Ragnarok | Standard Edition | PS5 Game (PlayStation 5),"58,925.",4.5 out of 5 stars,969 ratings,,"['B0BXRSNB6Z', 'B0BXRSNB6Z', 'B08R8PFVHD', 'B0BRNJFFSB', 'B089K72JNW', 'B0BXRSNB6Z', 'B0BRNJFFSB', 'B08R8PFVHD', 'B089K72JNW', 'B0BXRSNB6Z']",Visit the Sony Store
Sony PS5 Digital Standalone,"44,990.",4.7 out of 5 stars,351 ratings,The PS5™ console unleashes new gaming possibilities that you never anticipated.,"['B0BSNHFVL4', 'B0BSNHFVL4', 'B08R8PFVHD', 'B08R8RTZ1D', 'B089K72JNW', 'B0BSNHFVL4', 'B089K72JNW', 'B08R8PFVHD', 'B08R8RTZ1D', 'B0BSNHFVL4']",Visit the Sony Store
Sony Gran Turismo 7 | Standard Edition | PS5 Game (PlayStation 5),"3,016.",4.4 out of 5 stars,277 ratings,"Gran Turismo 7 brings together the very best features of the Real Driving Simulator, With the reintroduction of the legendary GT Simulation Mode, buy, tune, race and sell your way through a rewarding solo campaign as you unlock new cars and challenges.","['B09GVLRJVS', 'B09GVLRJVS', 'B09842WZYF', 'B0B69SG993', 'B07NVM4M5S', 'B0C2Q8TRZN', 'B09JWTM62V', 'B09HSGSKZS', 'B098MVB3VL', 'B07GFS62W8', 'B09C69FKDC', 'B0C3QKYJJ5', 'B09GVLRJVS', 'B0C2J54NN3', 'B0C2J6DRXG', 'B07GFS62W8', 'B0C2Q8TRZN', 'B0C8DMKHBT', 'B0B69SG993', 'B072L7BM6F', 'B08SVS99Q5', 'B0C8JZ7WJ6', 'B09842WZYF', 'B09GVLRJVS']",Visit the Sony Store
2K GAMES Ps5 Wwe 2K22,"1,699.",4.3 out of 5 stars,114 ratings,"KEY FEATURES: REDESIGNED GAMEPLAY ENGINE. NEW CONTROLS. ALL THE FEATURES YOU CAN HANDLE. Get ripped out of the stands and hit with complete control of the WWE Universe. THE GAME THAT MAY HIT TOO REAL Hitting this hard has never been so easy. Throw down with the biggest and most realistic-looking WWE Superstars and Legends like The Rock, Sasha Banks, Goldberg, Brock Lesnar, and more. 619 YOUR WAY TO SUPERSTARDOM Celebrate pivotal moments in Rey Mysterio’s career in 2K Showcase. Booyaka! INTRODUCING MyGM Call the shots as a WWE General Manager - Take the reins of Raw, SmackDown, NXT or NXT UK and draft your ultimate roster to compete against rival GM’s. RISE UP THE RANKS THROUGH WWE Take on not one, but two MyRISE adventures, featuring unique male and female storylines that let you choose your journey like never before. BUILD FOR YOURSELF, SHARE WITH THE WORLD The Creation Suite is back and better than ever. Be yourself or someone else. Then step in the ring anytime, anywhere in the world. ASSEMBLE YOUR OWN FACTION In a franchise-first, the all-new MyFACTION lets you build a faction that rivals the nWo. Collect, manage and upgrade WWE Superstars, with weekly events and regular updates! EXECUTIVE SOUNDTRACK PRODUCER Machine Gun Kelly","['B09R1S93QT', 'B09R1S93QT', 'B098XJF39V', 'B0C2Q8TRZN', 'B0C2VWGMYC', 'B07X8G7ZG5', 'B0C3QKYJJ5', 'B09842WZYF', 'B08SVS99Q5', 'B0BD4FV81P', 'B0C3QNBH26', 'B07MQ6JBZM', 'B09R1S93QT', 'B07MQ6JBZM', 'B0C8JZ7WJ6', 'B07VS3D5DP', 'B09842WZYF', 'B0C8DMKHBT', 'B0C2J54NN3', 'B0C2Q8TRZN', 'B082VX16VJ', 'B0C2J6DRXG', 'B0B69SG993', 'B09R1S93QT']",Brand: 2K Games
Big Ant Studios Cricket 22 | International Edition | PS5 (PlayStation 5),"2,017.",4.1 out of 5 stars,188 ratings,"Cricket 22 delivers the Ashes, the Big Bash, The Hundred, and other fan-favourite competitions in the biggest, boldest and best cricket game to date! Enjoy all-new mechanics, commentary, and a captivating career mode as you take to the international field of battle with fully-licensed teams from Australia, England, The West Indies, New Zealand and Ireland. Also enjoy full equal representation with both the Men’s and Women’s games replicated across the full Cricket 22 experience","['B09HXT9BBF', 'B09HXT9BBF', 'B09HXT9BBF', 'B07W5WZ7Q5', 'B09C69FKDC', 'B0BZDMY9RS', 'B0BZDMG84C', 'B0BSGRB7QB', 'B082VX16VJ', 'B0BD4D5PLL', 'B0C2Q8TRZN', 'B07NVM4M5S', 'B0C3QKYXRZ', 'B09HXT9BBF', 'B07W5WZ7Q5', 'B0C2Q8TRZN', 'B0C2J54NN3', 'B0C2J6DRXG', 'B082VX16VJ', 'B072L7BM6F', 'B07YQFJ2DR', 'B07VS3D5DP', 'B08SVS99Q5', 'B07MQ6JBZM', 'B09HXT9BBF']",Brand: Big Ant Studios
PS5 Spiderman 2 Standard Edn.,"4,999.",Previous page,,"Swing, jump and utilise the new Web Wings to travel across Marvel’s New York, quickly switching between Peter Parker and Miles Morales to experience different stories and epic new powers, as the iconic villain Venom threatens to destroy their lives, their city and the ones they love.","['B0C2Q8TRZN', 'B07WZDM6NT', 'B0C3QKYXRZ', 'B0C3QLX6ZH', 'B0BSGRB7QB', 'B0BSGRGN6J', 'B09JWTM62V', 'B07NVM4M5S', 'B09Q396Z7T', 'B07X8G7ZG5', 'B082VX16VJ', 'B0C2J54NN3', 'B0C2J6DRXG', 'B072L7BM6F', 'B09NM9DTTC', 'B0BSGZCRK7', 'B0B69SG993', 'B0BXCRWT3S', 'B01CR05F5K', 'B07GFS62W8']",Visit the Sony Store
Sony God Of War Ragnarok | Standard Edition | PS5 Game (PlayStation 5),"3,937.",4.7 out of 5 stars,"3,155 ratings",From Santa Monica Studio comes the sequel to the critically acclaimed God of War (2018). Kratos and Atreus must journey to each of the Nine Realms in search of answers as they prepare for the prophesied battle that will end the world.,"['B0B6FGSKCQ', 'B0B6FGSKCQ', 'B085LZSG6F', 'B07DNN638W', 'B0B69SG993', 'B09JWTM62V', 'B09ZQS9P5T', 'B0C9RXCJ17', 'B0BSGRGN6J', 'B0C2Q8TRZN', 'B0C2VWGMYC', 'B09TKYNVQN', 'B0B6FGSKCQ', 'B085LZSG6F', 'B0C2J54NN3', 'B0C2J6DRXG', 'B07GFS62W8', 'B0C3XL76RS', 'B0C8DMKHBT', 'B0B69SG993', 'B00316263Y', 'B09NM9DTTC', 'B01CR05F5K', 'B0B6FGSKCQ']",Brand: Sony
ROCKSTAR GAMES PS5 Grand Theft Auto V,"1,799.",4.3 out of 5 stars,366 ratings,"Includes Grand Theft Auto V: Story Mode and Grand Theft Auto Online. Continue your journey on PS5™ and transfer both GTA V Story Mode progress and GTA Online characters and progression to PS5™ with a one-time migration. Experience entertainment blockbusters, Grand Theft Auto V and GTA Online — now for PlayStation®5. When a young street hustler, a retired bank robber, and a terrifying psychopath find themselves entangled with some of the most frightening and deranged elements of the criminal underworld, the U.S. government, and the entertainment industry, they must pull off a series of dangerous heists to survive in a ruthless city in which they can trust nobody — least of all each other. Experience GTA Online, a dynamic and ever-evolving online universe for up to 30 players, where you can rise from street-level hustler to become a kingpin of your own criminal empire. PlayStation®5 players can enjoy new high-performance vehicle upgrades and improvements like the Career Builder as well as all GTA Online gameplay upgrades, expansions, and access to all current and previous content updates, ready to enjoy solo or with friends. Pull off daring co-operative Heists, enter adrenaline-fueled Stunt Races, compete in unique Adversary Modes, or hang out in social spaces including nightclubs, arcades, penthouse parties, car meetups, and much more. Explore Los Santos and Blaine County in greater detail than ever before, now featuring: • STUNNING VISUALS — Enhanced levels of fidelity and performance with new graphics modes featuring up to 4K resolution, up to 60 frames per second, HDR options, ray tracing, improved texture quality, and more • FASTER LOADING — Quicker access to the action as the world of Los Santos and Blaine County load in faster than ever before • ADAPTIVE TRIGGERS AND HAPTIC FEEDBACK — Feel every moment through the DualSense™ controller, from directional damage to weather effects, rough road surfaces to explosions, and more • TEMPEST 3D AUDIO — Hear the sounds of the world with pinpoint precision: the throttle of a stolen supercar, the rattle of neighboring gunfire, the roar of a helicopter overhead, and more Plus, all-new enhancements to the ever-evolving world of GTA Online, including: • EXCLUSIVE NEW CONTENT — Step into Hao’s Special Works at the Los Santos Car Meet, featuring elite new vehicle upgrades and exclusive modifications. Then take these high-performance vehicles into HSW races, new time trials, and more. • THE CAREER BUILDER — Get started in GTA Online with the tools of the trade. Quickly choose from one of four illicit businesses — Biker, Executive, Nightclub Owner, or Gunrunner — and select from properties, powerhouse vehicles, and weaponry to kick-start your enterprise. • NEW MENU DESIGN — Immediately access everything GTA Online has to offer right from the Main Menu, including the latest and most popular updates • ACCESS TO ALL CURRENT AND PREVIOUS UPDATES — Dive into more than 40 massive updates with more to come, featuring everything from the high-stakes hunt for Dr. Dre’s missing music files with Franklin Clinton in The Contract to the high-octane underground street racing action of Los Santos Tuners; Heists on the lush tropical island of Cayo Perico to the nightlife circuit of After Hours and The Diamond Casino & Resort; all available alongside a wide range of races, modes, activities, and social spaces to enjoy solo or with friends — including golf courses, nightclubs, arcades, poolside lounges, and much more","['B09XJ8FGVP', 'B09XJ8FGVP', 'B073QW8QBG', 'B0C7W1R6ZH', 'B07X8G7ZG5', 'B0C2VWGMYC', 'B0C2Q8TRZN', 'B00SAYCVTQ', 'B0BSGRB7QB', 'B09HSGSKZS', 'B08VJDFGFD', 'B09C69FKDC', 'B09XJ8FGVP', 'B073QW8QBG', 'B0C2J54NN3', 'B09842WZYF', 'B0C8DMKHBT', 'B0B69SG993', 'B0C2J6DRXG', 'B0C8JZ7WJ6', 'B09NM9DTTC', 'B08PYQ22WP', 'B01CR05F5K', 'B09XJ8FGVP']",Brand: ROCKSTAR GAMES
Square Enix PS5 Marvel's Guardians of the Galaxy,"1,399.",4.0 out of 5 stars,61 ratings,"Fire up a wild ride across the cosmos with a fresh take on Marvel’s Guardians of the Galaxy. In this third-person action-adventure game, you are Star-Lord, and thanks to your bold yet questionable leadership, you have persuaded an oddball crew of unlikely heroes to join you. Some jerk (surely not you) has set off a chain of catastrophic events, and only you can hold the unpredictable Guardians together long enough to fight off total interplanetary meltdown. Use Element Blasters, tag-team beat downs, jet boot-powered dropkicks, nothing’s off-limits. If you think it’s all going to plan, you’re in for a world of surprises, with the consequences of your actions to keep the Guardians on their toes. In this Marvel’s Guardians of the Galaxy story, you’ll cross paths with powerful new beings and unique takes on iconic characters, all caught in a struggle for the galaxy’s fate. It’s time to show the universe what you’re made of. You got this. Probably.","['B097JBHRNL', 'B097JBHRNL', 'B09HSGSKZS', 'B0C7W1R6ZH', 'B09JWTM62V', 'B0C3QKYXRZ', 'B0BD4D5PLL', 'B0BD4FV81P', 'B0C8DMKHBT', 'B0C2Q8TRZN', 'B09842WZYF', 'B0C8JZ7WJ6', 'B097JBHRNL', 'B07W5WZ7Q5', 'B0C2Q8TRZN', 'B0C2J54NN3', 'B0C3QL325N', 'B0C2J6DRXG', 'B08ZJK9NVR', 'B09D8VYLY7', 'B07YQFJ2DR', 'B07MQ6JBZM', 'B09842WZYF', 'B097JBHRNL']",Brand: SQUARE ENIX
Sony PS5 CoD MWII,"56,290.",4.6 out of 5 stars,6 ratings,The PS5™ console unleashes new gaming possibilities that you never anticipated.,"['B0C7CJFSZR', 'B0C7CJFSZR', 'B089K72JNW', 'B08R8PFVHD', 'B08R8RTZ1D', 'B0C7CJFSZR', 'B08R8PFVHD', 'B08R8RTZ1D', 'B089K72JNW']",Visit the Sony Store
Uncharted: Legacy of Thieves Collection | PS5 Game (PlayStation 5),"1,499.",4.5 out of 5 stars,306 ratings,"Seek your legacy and leave your mark on the map in UNCHARTED™: Legacy of Thieves Collection. Experience Naughty Dog’s thrilling, cinematic storytelling and the iconic franchise’s largest blockbuster action set pieces","['B09N9MBVD1', 'B09N9MBVD1', 'B0C2VVP9QS', 'B0BDF19XWP', 'B0BDF18FTS', 'B09B89GCWW', 'B09HSGSKZS', 'B09842WZYF', 'B0C3QKYXRZ', 'B07X8G7ZG5', 'B07DNN638W', 'B085LZSG6F', 'B09N9MBVD1', 'B085LZSG6F', 'B0C2J54NN3', 'B082VX16VJ', 'B0B69SG993', 'B0C2J6DRXG', 'B07CR3QKQL', 'B09842WZYF', 'B0C8DMKHBT', 'B0C9RXCJ17', 'B0C8JZ7WJ6', 'B09N9MBVD1']",Visit the Sony Store
Electronic Arts FIFA 23 | Standard Edition | PS5 (PlayStation 5),"3,299.",4.5 out of 5 stars,169 ratings,"EA SPORTS FIFA 23 brings even more of the action and realism of football to the pitch in The World’s Game, with advances in HyperMotion2 Technology driven by twice as much real-world motion capture helping to create more true football animation than ever before in every match. Play the biggest tournaments in football with both the men’s and women’s FIFA World Cup coming to FIFA 23 during the season, play as women’s club teams – powered by dedicated HyperMotion2 animation – for the first time ever, plus enjoy cross-play features that make it easier to play against friends. EA SPORTS FIFA 23 brings The World’s Game to the pitch, with HyperMotion2 Technology that delivers even more gameplay realism, both the men’s and women’s FIFA World Cup, the addition of women’s club teams, cross-play features, and more. HyperMotion2 Technology - Advances to HyperMotion gameplay technology with twice as much match data capture unlock new features and brings over 6000 authentic animations taken from millions of frames of advanced match capture to FIFA 23. Experience the pinnacle of both men’s and women’s international football in FIFA 23 with the men’s FIFA World Cup Qatar 2022 and FIFA Women’s World Cup Australia and New Zealand 2023. Enjoy a more true-to-life football experience in FIFA 23 with new gameplay features that create risk-versus-reward shooting, new free kick, penalty, and corner mechanics, and more football variety. Feel the drama of matchday with new features that take the atmosphere and broadcast quality to new heights in FIFA 23. Play as women’s club teams for the first time in EA SPORTS FIFA history as the Barclays FA Women’s Super League and Division 1 Arkema come to FIFA 23 at launch. Plus, enjoy dedicated HyperMotion2 capture that powers the women’s game in FIFA 23 to make female players move authentically in FIFA 23.","['B0B79YX5TV', 'B0B79YX5TV', 'B0B69SG993', 'B09C69FKDC', 'B0C2Q8TRZN', 'B0BSGRB7QB', 'B0C2VVP9QS', 'B07NVM4M5S', 'B098MVB3VL', 'B0BDF19XWP', 'B0BDF18FTS', 'B073QW8QBG', 'B0B79YX5TV', 'B0C2J54NN3', 'B07YSY25R8', 'B0C2J6DRXG', 'B00EXW3PFI', 'B0B69SG993', 'B00316263Y', 'B07HG4GRYP', 'B0C2Q8TRZN', 'B07XCQDFQS', 'B073QW8QBG', 'B0B79YX5TV']",Brand: Electronic Arts
PS5 Assassin's Creed Valhalla,"1,726.",4.3 out of 5 stars,182 ratings,"In Assassin’s Creed Valhalla, you are Eivor, a fierce Viking warrior raised on tales of battle and glory. Explore a dynamic and beautiful open world set against the brutal backdrop of England’s Dark Ages. Raid your enemies, grow your settlement, and build your political power in your quest to earn your place among the gods in Valhalla.","['B08SL7CX65', 'B08SL7CX65', 'B08SL7CX65', 'B0C3QLX6ZH', 'B0BD4D5PLL', 'B0C2Q8TRZN', 'B0BD4FV81P', 'B0C3QNBH26', 'B09842WZYF', 'B098XJF39V', 'B09BB78NW5', 'B09HSGSKZS', 'B09C69FKDC', 'B08SL7CX65', 'B0C2J6DRXG', 'B0C2J54NN3', 'B0C2Q8TRZN', 'B085LZSG6F', 'B0B69SG993', 'B09842WZYF', 'B08ZJK9NVR', 'B07YQFJ2DR', 'B0BSGRGN6J', 'B0C8JZ7WJ6', 'B08SL7CX65']",Brand: Ubisoft
Hogwarts Legacy | Standard Edition| PlayStation 5 (PS5),"3,799.",4.6 out of 5 stars,121 ratings,"Hogwarts Legacy is an immersive, open-world action RPG set in the world first introduced in the Harry Potter books. Embark on a journey through familiar and new locations as you explore and discover fantastic beasts, customize your character and craft potions, master spell casting, upgrade talents, and become the wizard you want to be. Experience Hogwarts in the 1800s. Your character is a student who holds the key to an ancient secret that threatens to tear the wizarding world apart. Discover the feeling of living at Hogwarts as you make allies, battle Dark wizards, and ultimately decide the fate of the wizarding world. Your legacy is what you make of it. Live the Unwritten.","['B0BBV2KB8R', 'B0BBV2KB8R', 'B0C2Q8TRZN', 'B0B69SG993', 'B0C3QKYXRZ', 'B09842WZYF', 'B07NVM4M5S', 'B0C2VVP9QS', 'B0BSGRB7QB', 'B074DD4KF2', 'B098MVB3VL', 'B09JWTM62V', 'B0BBV2KB8R', 'B0C2J54NN3', 'B0B69SG993', 'B0C2J6DRXG', 'B0C2Q8TRZN', 'B0C8JZ7WJ6', 'B0C8DMKHBT', 'B082VX16VJ', 'B09842WZYF', 'B07YQFJ2DR', 'B08ZJK9NVR', 'B0BBV2KB8R']",Brand: WB Games
Sony PS5 Standard DualSense bundle,"58,990.",Previous page,,The PS5™ console unleashes new gaming possibilities that you never anticipated.,"['B0BSNFLLRK', 'B0C2Q8TRZN', 'B0C3QNBH26', 'B0C3QLX6ZH', 'B0BD4D5PLL', 'B0BD4FV81P', 'B09JWTM62V', 'B09W5ZNC3W', 'B09C69FKDC', 'B0C7W9HLWQ', 'B0BDF18FTS', 'B0C2J54NN3', 'B0C2J6DRXG', 'B0C2Q8TRZN', 'B09D8VYLY7', 'B08SVS99Q5', 'B09NM9DTTC', 'B0C3QNBH26', 'B07YQFJ2DR', 'B07XXP51N4', 'B0C3QLX6ZH']",Visit the Sony Store
Sony Marvel's Spider-Man: Miles Morales (PS5),"2,588.",4.5 out of 5 stars,692 ratings,"Experience the rise of Miles Morales as the new hero masters incredible, explosive new powers to become his own Spider-Man.","['B08RFC9DRQ', 'B08RFC9DRQ', 'B08RFC9DRQ', 'B0C8DMKHBT', 'B07CR3QKQL', 'B09842WZYF', 'B0C8JZ7WJ6', 'B082VX16VJ', 'B0C2J54NN3', 'B0B69SG993', 'B0C2J6DRXG', 'B0C2Q8TRZN', 'B09NM9DTTC', 'B08RFC9DRQ']",Brand: Sony
WB Games PS5 Mortal Kombat 11: Ultimate,"1,799.",4.4 out of 5 stars,164 ratings,"Take control of Earthrealm’s protectors in the game’s TWO critically acclaimed, time-bending Story Campaigns as they race to stop Kronika from rewinding time and rebooting history. Friendships are tested, and new alliances forged, in the battle to save all of existence.","['B08SL6JRX6', 'B08SL6JRX6', 'B07MQ6JBZM', 'B0C3QPBKSW', 'B09Q396Z7T', 'B09NM9DTTC', 'B09JWTM62V', 'B0C2Q8TRZN', 'B08SVS99Q5', 'B09842WZYF', 'B09HSGSKZS', 'B0BD4D5PLL', 'B08SL6JRX6', 'B07MQ6JBZM', 'B0B69SG993', 'B0C2J54NN3', 'B072L7BM6F', 'B0C2J6DRXG', 'B09842WZYF', 'B09NM9DTTC', 'B082VX16VJ', 'B0C8JZ7WJ6', 'B0C8DMKHBT', 'B08SL6JRX6']",Brand: WB Games
